Date,Open,High,Low,Close,Adj Close,Volume
1980-12-01,0.513393,0.645089,0.450893,0.609375,0.500417,336212800
1981-01-01,0.616071,0.620536,0.504464,0.504464,0.414265,152247200
1981-02-01,0.477679,0.515625,0.424107,0.473214,0.388602,80404800
1981-03-01,0.475446,0.482143,0.386161,0.437500,0.359274,175179200
1981-04-01,0.435268,0.524554,0.433036,0.506696,0.416098,134232000
1981-05-01,0.506696,0.593750,0.479911,0.591518,0.485753,147604800
1981-06-01,0.591518,0.593750,0.464286,0.464286,0.381270,237641600
1981-07-01,0.462054,0.468750,0.397321,0.446429,0.366606,166857600
1981-08-01,0.446429,0.464286,0.337054,0.359375,0.295118,137155200
1981-09-01,0.381696,0.390625,0.254464,0.272321,0.223630,185920000
1981-10-01,0.272321,0.359375,0.272321,0.357143,0.293285,226044000
1981-11-01,0.357143,0.359375,0.319196,0.332589,0.273122,146669600
1981-12-01,0.332589,0.410714,0.323661,0.395089,0.324447,259280000
1982-01-01,0.395089,0.395089,0.319196,0.363839,0.298784,216053600
1982-02-01,0.363839,0.366071,0.325893,0.325893,0.267622,152101600
1982-03-01,0.328125,0.330357,0.252232,0.301339,0.247459,299919200
1982-04-01,0.316964,0.319196,0.261161,0.263393,0.216298,437399200
1982-05-01,0.272321,0.292411,0.250000,0.250000,0.205299,310973600
1982-06-01,0.247768,0.252232,0.227679,0.227679,0.186969,200911200
1982-07-01,0.227679,0.258929,0.196429,0.241071,0.197967,354552800
1982-08-01,0.247768,0.323661,0.218750,0.321429,0.263956,539000000
1982-09-01,0.314732,0.339286,0.310268,0.325893,0.267622,415889600
1982-10-01,0.330357,0.477679,0.321429,0.453125,0.372105,944876800
1982-11-01,0.453125,0.607143,0.448661,0.569196,0.467423,788076800
1982-12-01,0.569196,0.622768,0.493304,0.533482,0.438094,681497600
1983-01-01,0.533482,0.750000,0.486607,0.729911,0.599401,1144757600
1983-02-01,0.729911,0.868304,0.718750,0.814732,0.669056,788323200
1983-03-01,0.814732,0.843750,0.716518,0.754464,0.619564,662082400
1983-04-01,0.754464,0.941964,0.689732,0.901786,0.740544,834708000
1983-05-01,0.901786,1.089286,0.850446,1.031250,0.846860,521102400
1983-06-01,1.031250,1.129464,0.816964,0.872768,0.716715,701870400
1983-07-01,0.872768,0.888393,0.604911,0.622768,0.511416,774457600
1983-08-01,0.622768,0.665179,0.535714,0.665179,0.546243,765385600
1983-09-01,0.665179,0.709821,0.395089,0.412946,0.339111,1277315200
1983-10-01,0.412946,0.428571,0.319196,0.404018,0.331779,1255469600
1983-11-01,0.404018,0.430804,0.308036,0.363839,0.298784,1030540000
1983-12-01,0.363839,0.450893,0.352679,0.435268,0.357441,664154400
1984-01-01,0.435268,0.526786,0.412946,0.441964,0.362940,1089704000
1984-02-01,0.441964,0.493304,0.399554,0.468750,0.384936,777840000
1984-03-01,0.468750,0.500000,0.437500,0.441964,0.362940,491472800
1984-04-01,0.441964,0.560268,0.410714,0.560268,0.460091,804176800
1984-05-01,0.566964,0.613839,0.500000,0.524554,0.430762,1328919200
1984-06-01,0.524554,0.549107,0.433036,0.473214,0.388602,793783200
1984-07-01,0.473214,0.493304,0.433036,0.455357,0.373938,708724800
